"model_type","ppi_type","design","n","delta","emp_power","mc_se"
"glm_correct","PPI","PPI_crossfit",100,0.5,0.948,0.00992935043192656
"glm_correct","PPI","PPI_crossfit",100,0.55,0.982,0.005945754788082
"glm_correct","PPI","PPI_crossfit",100,0.55,0.982,0.005945754788082
"glm_correct","PPI","PPI_crossfit",100,0.55,0.982,0.005945754788082
"glm_correct","PPI","PPI_crossfit",100,0.6,0.996,0.00282276460230038
"glm_correct","PPI","PPI_crossfit",100,0.6,0.996,0.00282276460230038
"glm_correct","PPI","PPI_crossfit",100,0.6,0.996,0.00282276460230038
"glm_correct","PPI","PPI_crossfit",150,0,0.042,0.00897061870775924
"glm_correct","PPI","PPI_crossfit",150,0,0.042,0.00897061870775924
"glm_correct","PPI","PPI_crossfit",150,0,0.042,0.00897061870775924
"glm_correct","PPI","PPI_crossfit",150,0.05,0.068,0.0112584190719657
"glm_correct","PPI","PPI_crossfit",150,0.05,0.068,0.0112584190719657
"glm_correct","PPI","PPI_crossfit",150,0.05,0.068,0.0112584190719657
"glm_correct","PPI","PPI_crossfit",150,0.1,0.116,0.0143208938268531
"glm_correct","PPI","PPI_crossfit",150,0.1,0.116,0.0143208938268531
"glm_correct","PPI","PPI_crossfit",150,0.1,0.116,0.0143208938268531
"glm_correct","PPI","PPI_crossfit",150,0.15,0.222,0.0185858010319706
"glm_correct","PPI","PPI_crossfit",150,0.15,0.222,0.0185858010319706
"glm_correct","PPI","PPI_crossfit",150,0.15,0.222,0.0185858010319706
"glm_correct","PPI","PPI_crossfit",150,0.2,0.35,0.0213307290077015
"glm_correct","PPI","PPI_crossfit",150,0.2,0.35,0.0213307290077015
"glm_correct","PPI","PPI_crossfit",150,0.2,0.35,0.0213307290077015
"glm_correct","PPI","PPI_crossfit",150,0.25,0.54,0.0222890107452081
"glm_correct","PPI","PPI_crossfit",150,0.25,0.54,0.0222890107452081
"glm_correct","PPI","PPI_crossfit",150,0.25,0.54,0.0222890107452081
"glm_correct","PPI","PPI_crossfit",150,0.3,0.686,0.0207559148196364
"glm_correct","PPI","PPI_crossfit",150,0.3,0.686,0.0207559148196364
"glm_correct","PPI","PPI_crossfit",150,0.3,0.686,0.0207559148196364
"glm_correct","PPI","PPI_crossfit",150,0.35,0.806,0.0176841171676734
"glm_correct","PPI","PPI_crossfit",150,0.35,0.806,0.0176841171676734
"glm_correct","PPI","PPI_crossfit",150,0.35,0.806,0.0176841171676734
"glm_correct","PPI","PPI_crossfit",150,0.4,0.892,0.0138806339912844
"glm_correct","PPI","PPI_crossfit",150,0.4,0.892,0.0138806339912844
"glm_correct","PPI","PPI_crossfit",150,0.4,0.892,0.0138806339912844
"glm_correct","PPI","PPI_crossfit",150,0.45,0.954,0.00936845771725528
"glm_correct","PPI","PPI_crossfit",150,0.45,0.954,0.00936845771725528
"glm_correct","PPI","PPI_crossfit",150,0.45,0.954,0.00936845771725528
"glm_correct","PPI","PPI_crossfit",150,0.5,0.986,0.00525433154644813
"glm_correct","PPI","PPI_crossfit",150,0.5,0.986,0.00525433154644813
"glm_correct","PPI","PPI_crossfit",150,0.5,0.986,0.00525433154644813
"glm_correct","PPI","PPI_crossfit",150,0.55,0.992,0.0039839678713564
"glm_correct","PPI","PPI_crossfit",150,0.55,0.992,0.0039839678713564
"glm_correct","PPI","PPI_crossfit",150,0.55,0.992,0.0039839678713564
"glm_correct","PPI","PPI_crossfit",150,0.6,0.994,0.00345369367489359
"glm_correct","PPI","PPI_crossfit",150,0.6,0.994,0.00345369367489359
"glm_correct","PPI","PPI_crossfit",150,0.6,0.994,0.00345369367489359
"glm_correct","PPI","PPI_crossfit",200,0,0.064,0.0109456840809517
"glm_correct","PPI","PPI_crossfit",200,0,0.064,0.0109456840809517
"glm_correct","PPI","PPI_crossfit",200,0,0.064,0.0109456840809517
"glm_correct","PPI","PPI_crossfit",200,0.05,0.082,0.0122699633251286
"glm_correct","PPI","PPI_crossfit",200,0.05,0.082,0.0122699633251286
"glm_correct","PPI","PPI_crossfit",200,0.05,0.082,0.0122699633251286
"glm_correct","PPI","PPI_crossfit",200,0.1,0.16,0.0163951212255354
"glm_correct","PPI","PPI_crossfit",200,0.1,0.16,0.0163951212255354
"glm_correct","PPI","PPI_crossfit",200,0.1,0.16,0.0163951212255354
"glm_correct","PPI","PPI_crossfit",200,0.15,0.262,0.0196649942791754
"glm_correct","PPI","PPI_crossfit",200,0.15,0.262,0.0196649942791754
"glm_correct","PPI","PPI_crossfit",200,0.15,0.262,0.0196649942791754
"glm_correct","PPI","PPI_crossfit",200,0.2,0.402,0.0219269696948758
"glm_correct","PPI","PPI_crossfit",200,0.2,0.402,0.0219269696948758
"glm_correct","PPI","PPI_crossfit",200,0.2,0.402,0.0219269696948758
"glm_correct","PPI","PPI_crossfit",200,0.25,0.558,0.0222097275985096
"glm_correct","PPI","PPI_crossfit",200,0.25,0.558,0.0222097275985096
"glm_correct","PPI","PPI_crossfit",200,0.25,0.558,0.0222097275985096
"glm_correct","PPI","PPI_crossfit",200,0.3,0.71,0.0202928558857545
"glm_correct","PPI","PPI_crossfit",200,0.3,0.71,0.0202928558857545
"glm_correct","PPI","PPI_crossfit",200,0.3,0.71,0.0202928558857545
"glm_correct","PPI","PPI_crossfit",200,0.35,0.83,0.016798809481627
"glm_correct","PPI","PPI_crossfit",200,0.35,0.83,0.016798809481627
"glm_correct","PPI","PPI_crossfit",200,0.35,0.83,0.016798809481627
"glm_correct","PPI","PPI_crossfit",200,0.4,0.902,0.0132963152790538
"glm_correct","PPI","PPI_crossfit",200,0.4,0.902,0.0132963152790538
"glm_correct","PPI","PPI_crossfit",200,0.4,0.902,0.0132963152790538
"glm_correct","PPI","PPI_crossfit",200,0.45,0.966,0.00810481338464989
"glm_correct","PPI","PPI_crossfit",200,0.45,0.966,0.00810481338464989
"glm_correct","PPI","PPI_crossfit",200,0.45,0.966,0.00810481338464989
"glm_correct","PPI","PPI_crossfit",200,0.5,0.99,0.0044497190922574
"glm_correct","PPI","PPI_crossfit",200,0.5,0.99,0.0044497190922574
"glm_correct","PPI","PPI_crossfit",200,0.5,0.99,0.0044497190922574
"glm_correct","PPI","PPI_crossfit",200,0.55,0.994,0.00345369367489359
"glm_correct","PPI","PPI_crossfit",200,0.55,0.994,0.00345369367489359
"glm_correct","PPI","PPI_crossfit",200,0.55,0.994,0.00345369367489359
"glm_correct","PPI","PPI_crossfit",200,0.6,1,0
"glm_correct","PPI","PPI_crossfit",200,0.6,1,0
"glm_correct","PPI","PPI_crossfit",200,0.6,1,0
"glm_correct","PPI","PPI_crossfit",300,0,0.034,0.00810481338464989
"glm_correct","PPI","PPI_crossfit",300,0,0.034,0.00810481338464989
"glm_correct","PPI","PPI_crossfit",300,0,0.034,0.00810481338464989
"glm_correct","PPI","PPI_crossfit",300,0.05,0.062,0.0107848041243223
"glm_correct","PPI","PPI_crossfit",300,0.05,0.062,0.0107848041243223
"glm_correct","PPI","PPI_crossfit",300,0.05,0.062,0.0107848041243223
"glm_correct","PPI","PPI_crossfit",300,0.1,0.166,0.0166399519230075
"glm_correct","PPI","PPI_crossfit",300,0.1,0.166,0.0166399519230075
"glm_correct","PPI","PPI_crossfit",300,0.1,0.166,0.0166399519230075
"glm_correct","PPI","PPI_crossfit",300,0.15,0.306,0.0206089301032344
"glm_correct","PPI","PPI_crossfit",300,0.15,0.306,0.0206089301032344
"glm_correct","PPI","PPI_crossfit",300,0.15,0.306,0.0206089301032344
"glm_correct","PPI","PPI_crossfit",300,0.2,0.476,0.0223349054173059
"glm_correct","PPI","PPI_crossfit",300,0.2,0.476,0.0223349054173059
"glm_correct","PPI","PPI_crossfit",300,0.2,0.476,0.0223349054173059
"glm_correct","PPI","PPI_crossfit",300,0.25,0.666,0.0210923682880799
"glm_correct","PPI","PPI_crossfit",300,0.25,0.666,0.0210923682880799
"glm_correct","PPI","PPI_crossfit",300,0.25,0.666,0.0210923682880799
"glm_correct","PPI","PPI_crossfit",300,0.3,0.816,0.0173288199251998
"glm_correct","PPI","PPI_crossfit",300,0.3,0.816,0.0173288199251998
"glm_correct","PPI","PPI_crossfit",300,0.3,0.816,0.0173288199251998
"glm_correct","PPI","PPI_crossfit",300,0.35,0.916,0.0124051602166195
"glm_correct","PPI","PPI_crossfit",300,0.35,0.916,0.0124051602166195
"glm_correct","PPI","PPI_crossfit",300,0.35,0.916,0.0124051602166195
"glm_correct","PPI","PPI_crossfit",300,0.4,0.976,0.00684455988358638
"glm_correct","PPI","PPI_crossfit",300,0.4,0.976,0.00684455988358638
"glm_correct","PPI","PPI_crossfit",300,0.4,0.976,0.00684455988358638
"glm_correct","PPI","PPI_crossfit",300,0.45,0.994,0.00345369367489359
"glm_correct","PPI","PPI_crossfit",300,0.45,0.994,0.00345369367489359
"glm_correct","PPI","PPI_crossfit",300,0.45,0.994,0.00345369367489359
"glm_correct","PPI","PPI_crossfit",300,0.5,0.996,0.00282276460230038
"glm_correct","PPI","PPI_crossfit",300,0.5,0.996,0.00282276460230038
"glm_correct","PPI","PPI_crossfit",300,0.5,0.996,0.00282276460230038
"glm_correct","PPI","PPI_crossfit",300,0.55,1,0
"glm_correct","PPI","PPI_crossfit",300,0.55,1,0
"glm_correct","PPI","PPI_crossfit",300,0.55,1,0
"glm_correct","PPI","PPI_crossfit",300,0.6,1,0
"glm_correct","PPI","PPI_crossfit",300,0.6,1,0
"glm_correct","PPI","PPI_crossfit",300,0.6,1,0
"glm_correct","PPI","PPI_noncrossfit",50,0,0.052,0.00992935043192655
"glm_correct","PPI","PPI_noncrossfit",50,0,0.052,0.00992935043192655
"glm_correct","PPI","PPI_noncrossfit",50,0,0.052,0.00992935043192655
"glm_correct","PPI","PPI_noncrossfit",50,0.05,0.082,0.0122699633251286
"glm_correct","PPI","PPI_noncrossfit",50,0.05,0.082,0.0122699633251286
"glm_correct","PPI","PPI_noncrossfit",50,0.05,0.082,0.0122699633251286
"glm_correct","PPI","PPI_noncrossfit",50,0.1,0.114,0.0142129518397833
"glm_correct","PPI","PPI_noncrossfit",50,0.1,0.114,0.0142129518397833
"glm_correct","PPI","PPI_noncrossfit",50,0.1,0.114,0.0142129518397833
"glm_correct","PPI","PPI_noncrossfit",50,0.15,0.158,0.0163117135825762
"glm_correct","PPI","PPI_noncrossfit",50,0.15,0.158,0.0163117135825762
"glm_correct","PPI","PPI_noncrossfit",50,0.15,0.158,0.0163117135825762
"glm_correct","PPI","PPI_noncrossfit",50,0.2,0.21,0.018215378118502
"glm_correct","PPI","PPI_noncrossfit",50,0.2,0.21,0.018215378118502
"glm_correct","PPI","PPI_noncrossfit",50,0.2,0.21,0.018215378118502
"glm_correct","PPI","PPI_noncrossfit",50,0.25,0.286,0.0202091068580479
"glm_correct","PPI","PPI_noncrossfit",50,0.25,0.286,0.0202091068580479
"glm_correct","PPI","PPI_noncrossfit",50,0.25,0.286,0.0202091068580479
