model_type,ppi_type,n,delta,lambda_mode,PPI_crossfit,PPIpp_crossfit,PPIpp_independent_split,avg_lambda_hat,sd_lambda_hat,lambda_oracle,var_fhat,var_res,cor_Y_fhat,ratio_cov_over_var,N,design
glm_correct,PPI,50,0,plugin,FALSE,FALSE,FALSE,1,0,0.9615152477348147,17.430436680031686,1.276781381842545,0.9490148197120085,0.9855531289281849,2000,PPI_noncrossfit
glm_correct,PPI,50,0,plugin,FALSE,FALSE,TRUE,1,0,0.9615152477348147,17.430436680031686,1.276781381842545,0.9490148197120085,0.9855531289281849,2000,PPI_noncrossfit
glm_correct,PPI,50,0,plugin,FALSE,TRUE,FALSE,1,0,0.9615152477348147,17.430436680031686,1.276781381842545,0.9490148197120085,0.9855531289281849,2000,PPI_noncrossfit
glm_correct,PPI,50,0,plugin,TRUE,FALSE,FALSE,1,0,0.9596470211632628,17.3684862940259,1.3961166606428488,0.9453169012438382,0.9836381966923443,2000,PPI_crossfit
glm_correct,PPI,50,0,plugin,TRUE,FALSE,TRUE,1,0,0.9596470211632628,17.3684862940259,1.3961166606428488,0.9453169012438382,0.9836381966923443,2000,PPI_crossfit
glm_correct,PPI,50,0,plugin,TRUE,TRUE,FALSE,1,0,0.9596470211632628,17.3684862940259,1.3961166606428488,0.9453169012438382,0.9836381966923443,2000,PPI_crossfit
glm_correct,PPI,100,0,plugin,FALSE,FALSE,FALSE,1,0,0.9479602388008264,17.08719441173925,1.0666643465646402,0.9649700402818863,0.9953582507408677,2000,PPI_noncrossfit
glm_correct,PPI,100,0,plugin,FALSE,FALSE,TRUE,1,0,0.9479602388008264,17.08719441173925,1.0666643465646402,0.9649700402818863,0.9953582507408677,2000,PPI_noncrossfit
glm_correct,PPI,100,0,plugin,FALSE,TRUE,FALSE,1,0,0.9479602388008264,17.08719441173925,1.0666643465646402,0.9649700402818863,0.9953582507408677,2000,PPI_noncrossfit
glm_correct,PPI,100,0,plugin,TRUE,FALSE,FALSE,1,0,0.9460268176940897,17.012824821430815,1.1214236744999968,0.9615069902323784,0.9933281585787942,2000,PPI_crossfit
glm_correct,PPI,100,0,plugin,TRUE,FALSE,TRUE,1,0,0.9460268176940897,17.012824821430815,1.1214236744999968,0.9615069902323784,0.9933281585787942,2000,PPI_crossfit
glm_correct,PPI,100,0,plugin,TRUE,TRUE,FALSE,1,0,0.9460268176940897,17.012824821430815,1.1214236744999968,0.9615069902323784,0.9933281585787942,2000,PPI_crossfit
